// 
radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,270,99,12,22222,0,6.120712,49.54384,11109,144,1,1309988245,1443599522,0
GSM,270,77,3,373,0,6.117055,49.538651,8815,2000,1,1309988245,1589189611,0
GSM,270,1,1010,15396,0,6.114561,49.536516,11764,2000,1,1309988245,1384491026,0
GSM,270,77,3,10373,0,6.115696,49.539976,21609,1068,1,1309988245,1328105111,0
GSM,270,77,3,10372,0,6.116469,49.542106,21646,1083,1,1309988245,1328105021,0
GSM,270,1,1010,15395,0,6.119189,49.543337,33462,2000,1,1309988245,1384316460,0
GSM,270,77,3,371,0,6.128847,49.546555,20749,1999,1,1309988245,1589859622,0
GSM,270,77,3,372,0,6.172506,49.543822,22131,1984,1,1309988245,1588027169,0
GSM,270,99,11,20223,0,6.119766,49.567414,2962,20,1,1309988245,1312162196,0
GSM,270,99,12,22221,0,6.121598,49.545951,10680,130,1,1309988245,1452760740,0
GSM,270,99,12,22241,0,6.122576,49.544038,11336,99,1,1309988245,1314321180,0
GSM,270,77,3,3792,0,6.133092,49.52107,23990,1980,1,1309988245,1588027169,0
GSM,270,99,11,20522,0,6.124774,49.549224,5366,10,1,1309988245,1312639819,0
GSM,270,77,1,11182,0,6.119617,49.550814,21667,176,1,1309988245,1328838181,0
GSM,270,77,3,3791,0,6.118745,49.541372,21631,1997,1,1309988245,1588027169,0
GSM,270,77,3,11192,0,6.139717,49.55002,23118,138,1,1309988245,1325770581,0
GSM,270,99,11,20222,0,6.126022,49.550171,1036,7,1,1309988245,1311049282,0
GSM,270,77,3,383,0,6.113847,49.527672,18809,1992,1,1309988245,1582606173,0
GSM,270,77,3,381,0,6.17948,49.531853,23813,1987,1,1309988245,1588553668,0
GSM,270,1,1010,15823,0,6.130001,49.55432,32425,386,1,1309988245,1384844090,0
GSM,270,99,12,22231,0,6.123757,49.545728,8585,71,1,1309988245,1314141588,0
GSM,270,77,3,10371,0,6.119414,49.545044,21835,707,1,1309988245,1328105021,0
