radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,212,1,102,11512,0,7.4233245849609,43.691940307617,1000,1,1,1388309396,1388309396,0
UMTS,212,10,12603,278355,0,7.428772,43.742807,1000,10,1,1461681662,1547774695,0
LTE,212,10,12603,4237,0,7.424915,43.739716,1000,19,1,1458931131,1492073955,0
LTE,212,10,12603,15254,0,7.427392,43.739847,1000,26,1,1458931131,1488899342,0
LTE,212,10,12603,6258,0,7.421188,43.732529,1000,9,1,1458931131,1489166296,0
LTE,212,10,12603,6517,0,7.4233245849609,43.730392456055,1000,1,1,1447521290,1447521290,0
LTE,212,10,12603,7545,0,7.424583,43.736687,1000,12,1,1458931131,1489166296,0
LTE,212,10,12603,4252,0,7.456969,43.751451,2958,6,1,1458931131,1485760243,0
LTE,212,10,12603,6259,0,7.416458,43.736572,1000,2,1,1458931131,1489166296,0
LTE,212,10,12603,4238,0,7.425673,43.737168,1000,7,1,1458931131,1539005065,0
LTE,212,10,12603,14227,0,7.410965,43.727921,1000,5,1,1458931131,1490509544,0
LTE,212,10,12603,4239,0,7.422981,43.738632,1000,4,1,1458931131,1480778451,0
LTE,212,10,12603,6516,0,7.4233245849609,43.737258911133,1000,1,1,1455026172,1455026172,0
LTE,212,10,12603,3730,0,7.419548,43.728676,1003,4,1,1458931131,1489050072,0
LTE,212,10,12603,2971,0,7.455543,43.74636,2805,9,1,1458931131,1539032673,0
LTE,212,10,12603,2919,0,7.421097,43.734985,1000,7,1,1458931131,1539004845,0
LTE,212,10,12603,6257,0,7.439057,43.744639,2836,25,1,1458931131,1539011033,0
UMTS,212,10,12603,278386,0,7.428183,43.739532,1000,4,1,1458967765,1555274572,0
UMTS,212,10,12603,26447816,0,7.4521636962891,43.760604858398,1000,1,1,1455026172,1455026172,0
UMTS,212,10,12603,274866,0,7.430191,43.740692,1000,2,1,1458967765,1462279633,0
UMTS,212,10,12603,273186,0,7.429837,43.742956,1000,6,1,1458967765,1547774139,0
UMTS,212,10,12603,274466,0,7.4233245849609,43.733139038086,1000,5,1,1458967765,1490410154,0
UMTS,212,10,12603,274575,0,7.4823760986328,43.750991821289,1000,2,1,1458967765,1468211871,0
UMTS,212,10,12603,283363,0,7.4205780029297,43.734512329102,1000,1,1,1445676324,1445676324,0
UMTS,212,10,12603,274696,0,7.4054718017578,43.724899291992,1000,1,1,1450779846,1450779846,0
UMTS,212,10,12603,274886,0,7.4301910400391,43.74137878418,1000,2,1,1458967765,1462113861,0
UMTS,212,10,12603,273255,0,7.41893,43.735336,1000,5,1,1458967765,1483100719,0
UMTS,212,10,12603,273966,0,7.4233245849609,43.734512329102,1000,1,1,1439743939,1439743939,0
UMTS,212,10,12603,274566,0,7.421127,43.73204,1000,5,1,1458967765,1483698866,0
UMTS,212,10,12603,273585,0,7.4137115478516,43.730392456055,1000,2,1,1458967765,1475029662,0
UMTS,212,10,12603,274556,0,7.422226,43.731766,1000,5,1,1458967765,1483100719,0
UMTS,212,10,12603,273677,0,7.42424,43.738174,1000,3,1,1458967765,1469502512,0
UMTS,212,10,12603,274706,0,7.4082183837891,43.729019165039,1000,1,1,1450573391,1450573391,0
UMTS,212,10,12603,277685,0,7.4150848388672,43.729019165039,1000,2,1,1458967765,1461843852,0
UMTS,212,10,12603,274555,0,7.451476,43.745672,2552,8,1,1458967765,1476887083,0
UMTS,212,10,12603,274685,0,7.4274444580078,43.737258911133,1000,1,1,1446653065,1446653065,0
UMTS,212,10,12603,278366,0,7.427217,43.740232,1000,8,1,1458967765,1547818246,0
UMTS,212,10,12603,274856,0,7.430624,43.742994,1000,5,1,1458967765,1547721579,0
LTE,212,10,12603,15253,0,7.437973,43.743576,2287,15,1,1459317991,1488899342,0
LTE,212,10,12603,6028,0,7.458341,43.744127,1873,2,1,1460289918,1477481489,0
LTE,212,10,12603,7030,0,7.455596,43.750993,1497,2,1,1460289918,1487165198,0
LTE,212,10,12603,10106,0,7.461777,43.755798,1000,4,1,1460289918,1490869958,0
LTE,212,10,12603,7065,0,7.470932,43.750992,1000,3,1,1460289918,1489166296,0
UMTS,212,10,12603,273976,0,7.4260711669922,43.730392456055,1000,1,1,1462113855,1462113855,0
UMTS,212,10,12603,273776,0,7.4288177490234,43.733139038086,1000,1,1,1462113861,1462113861,0
UMTS,212,10,12603,273557,0,7.424698,43.729019,1000,2,1,1462136868,1479565066,0
